Name,#,Orbits,Distance (000 km),O_Period (days),Incl,Eccen,Discoverer,Date,A.K.A.,Diameter (000 km),Color (hex),R_Period (days),Type
Sun,-,-,-,-,-,-,-,-,Sol,1392,#FFAA11,,Star
Mercury,I,Sun,57910,87.97,7,0.21,-,-,,4.879,#AAAADD,,Planet
Venus,II,Sun,108200,224.7,14305,0.01,-,-,,12.104,#DDDD44,,Planet
Earth,III,Sun,149600,365.26,0,0.02,-,-,,12.756,#0000FF,1,Planet
Mars,IV,Sun,227940,686.98,31048,0.09,-,-,,13.61,#DD4400,,Planet
Jupiter,V,Sun,778330,4332.71,11324,0.05,-,-,,142.984,#AAAA11,,Planet
Saturn,VI,Sun,1429400,10759.5,17930,0.06,-,-,,120.536,#BBBB55,,Planet
Uranus,VII,Sun,2870990,30685,0.77,0.05,Herschel,1781,,51.118,#5555FF,,Planet
Neptune,VIII,Sun,4504300,60190,28126,0.01,Adams,1846,,48.528,#0000FF,,Planet
Pluto,IX,Sun,5913520,90550,17.15,0.25,Tombaugh,1930,,2.368,#AAAA33,,Planet
Moon,I,Earth,384,27.32,41760,0.05,-,-,Luna,,,,Moon
Phobos,I,Mars,9,0.32,1,0.02,Hall,1877,,,,,Moon
Deimos,II,Mars,23,46023,45139,0,Hall,1877,,,,,Moon
Metis,XVI,Jupiter,128,0.29,0,0,Synnott,1979,1979 J 3,,,,Moon
Adrastea,XV,Jupiter,129,0.3,0,0,Jewitt,1979,1979 J1,,,,Moon
Amalthea,V,Jupiter,181,0.5,0.4,0,Barnard,1892,,,,,Moon
Thebe,XIV,Jupiter,222,0.67,0.8,0.02,Synnott,1979,1979 J2,,,,Moon
Io,I,Jupiter,422,28126,0.04,0,Galileo,1610,,,,,Moon
Europa,II,Jupiter,671,20149,0.47,0.01,Galileo,1610,,,,,Moon
Ganymede,III,Jupiter,1070,42186,0.19,0,Galileo,1610,,,,,Moon
Callisto,IV,Jupiter,1883,16.69,0.28,0.01,Galileo,1610,,,,,Moon
Themisto,XVIII,Jupiter,7507,,,,Sheppard,2000,S/1975 J 1 & S/2000 J1,,,,Moon
Leda,XIII,Jupiter,11094,238.72,27,0.15,Kowal,1974,,,,,Moon
Himalia,VI,Jupiter,11480,250.57,28,0.16,Perrine,1904,,,,,Moon
Lysithea,X,Jupiter,11720,259.22,29,0.11,Nicholson,1938,,,,,Moon
Elara,VII,Jupiter,11737,259.65,28,0.21,Perrine,1905,,,,,Moon
Ananke,XII,Jupiter,21200,-631,147,0.17,Nicholson,1951,,,,,Moon
